,2022-05-21,2022-05-19,2022-05-18,2022-05-17,2022-05-16,2022-05-15,2022-04-27,2022-04-20,2022-04-19,2022-04-18,2022-04-17,2022-04-15,2022-04-14,2022-04-13,2022-04-09,2022-04-07,2022-04-05,2022-04-04,2022-04-02
0,王維中,郭郁政,郭郁政,郭郁政,郭郁政,郭郁政,郭郁政,郭郁政,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,布里悍
1,郭郁政,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,鋼龍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,林逸達
2,鋼龍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,布里悍,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,伍鐸
3,布里悍,林羿豪,林羿豪,林羿豪,林羿豪,林羿豪,林羿豪,林羿豪,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,陳冠偉
4,林羿豪,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,林逸達,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,羅華韋
5,林逸達,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,伍鐸,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,陳明軒
6,伍鐸,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳冠偉,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,王玉譜
7,陳冠偉,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,羅華韋,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,吉力吉撈．鞏冠
8,羅華韋,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,陳明軒,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,劉時豪
9,陳明軒,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,王玉譜,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,蔣少宏
10,王玉譜,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,吉力吉撈．鞏冠,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,李凱威
11,吉力吉撈．鞏冠,林辰勳,林辰勳,林辰勳,林辰勳,林辰勳,劉時豪,劉時豪,李凱威,李凱威,李凱威,李凱威,李凱威,李凱威,李凱威,李凱威,李凱威,李凱威,張政禹
12,林辰勳,劉時豪,劉時豪,劉時豪,劉時豪,劉時豪,蔣少宏,蔣少宏,張政禹,張政禹,張政禹,張政禹,張政禹,張政禹,張政禹,張政禹,張政禹,張政禹,林智勝
13,劉時豪,蔣少宏,蔣少宏,蔣少宏,蔣少宏,蔣少宏,李凱威,李凱威,林智勝,林智勝,林智勝,林智勝,林智勝,林智勝,林智勝,林智勝,林智勝,林智勝,劉基鴻
14,蔣少宏,李凱威,李凱威,李凱威,李凱威,李凱威,張政禹,張政禹,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,拿莫．伊漾
15,李凱威,張政禹,張政禹,張政禹,張政禹,張政禹,林智勝,林智勝,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,吳東融
16,張政禹,林智勝,林智勝,林智勝,林智勝,林智勝,劉基鴻,劉基鴻,吳東融,吳東融,吳東融,吳東融,吳東融,吳東融,吳東融,吳東融,吳東融,吳東融,石翔宇
17,林智勝,劉基鴻,劉基鴻,劉基鴻,劉基鴻,劉基鴻,拿莫．伊漾,拿莫．伊漾,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,郭天信
18,劉基鴻,龍德力,龍德力,龍德力,龍德力,龍德力,吳東融,吳東融,郭天信,郭天信,郭天信,郭天信,郭天信,郭天信,郭天信,郭天信,郭天信,郭天信,張祐銘
19,龍德力,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,拿莫．伊漾,石翔宇,石翔宇,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,邱辰
20,拿莫．伊漾,吳東融,吳東融,吳東融,吳東融,吳東融,郭天信,郭天信,邱辰,邱辰,邱辰,邱辰,邱辰,邱辰,邱辰,邱辰,邱辰,邱辰,陳品捷
21,吳東融,石翔宇,石翔宇,石翔宇,石翔宇,石翔宇,張祐銘,張祐銘,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,劉昱言
22,石翔宇,郭天信,郭天信,郭天信,郭天信,郭天信,邱辰,邱辰,曾陶鎔,劉昱言,劉昱言,劉昱言,劉昱言,劉昱言,劉昱言,劉昱言,劉昱言,劉昱言,呂偉晟
23,郭天信,張祐銘,張祐銘,張祐銘,張祐銘,張祐銘,陳品捷,陳品捷,劉昱言,王維中,王維中,王維中,廖任磊,廖任磊,廖任磊,廖任磊,廖任磊,廖任磊,林孝程
24,張祐銘,邱辰,邱辰,邱辰,邱辰,邱辰,曾陶鎔,曾陶鎔,王維中,廖任磊,廖任磊,廖任磊,呂偉晟,呂偉晟,呂偉晟,呂偉晟,呂偉晟,呂偉晟,林子昱
25,邱辰,陳品捷,陳品捷,陳品捷,陳品捷,陳品捷,,劉昱言,廖任磊,呂偉晟,呂偉晟,呂偉晟,鈦龍,鈦龍,鈦龍,林孝程,林孝程,林孝程,
26,陳品捷,林威廷,林威廷,林威廷,林威廷,林威廷,,王維中,呂偉晟,,董秉軒,鈦龍,林子昱,,林孝程,,郭郁政,,
27,,,曹祐齊,,廖任磊,,,,,,,,,,,,,,
