,2022-05-24,2022-05-22,2022-05-19,2022-05-17,2022-05-14,2022-05-12,2022-05-10,2022-05-09,2022-05-08,2022-05-06,2022-05-04,2022-05-03,2022-05-02,2022-04-24,2022-04-21,2022-04-17,2022-04-15,2022-04-14,2022-04-11,2022-04-10,2022-04-09,2022-04-08,2022-04-07,2022-04-05,2022-04-02
0,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,蘇俊璋,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇
1,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,黃偉晟,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥
2,陳冠宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,蘇俊宇,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正
3,蘇俊宇,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,朱俊祥,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖
4,朱俊祥,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,王溢正,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,王躍霖,王躍霖,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠
5,王溢正,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,許峻暘,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,賴鴻誠,賴鴻誠,豪勁,豪勁,豪勁,豪勁,豪勁,豪勁
6,許峻暘,索沙,索沙,索沙,索沙,索沙,索沙,索沙,索沙,王躍霖,王躍霖,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,豪勁,豪勁,林泓育,林泓育,林泓育,林泓育,林泓育,林泓育
7,索沙,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,王躍霖,賴鴻誠,賴鴻誠,豪勁,豪勁,豪勁,豪勁,豪勁,豪勁,林泓育,林泓育,張閔勛,張閔勛,張閔勛,張閔勛,張閔勛,張閔勛
8,王躍霖,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,賴鴻誠,豪勁,豪勁,林泓育,林泓育,林泓育,林泓育,林泓育,林泓育,張閔勛,張閔勛,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞
9,賴鴻誠,豪勁,豪勁,豪勁,豪勁,豪勁,豪勁,豪勁,豪勁,林泓育,林泓育,張閔勛,張閔勛,張閔勛,張閔勛,張閔勛,張閔勛,嚴宏鈞,嚴宏鈞,梁家榮,梁家榮,梁家榮,梁家榮,梁家榮,梁家榮
10,豪勁,黃子鵬,黃子鵬,黃子鵬,林泓育,林泓育,林泓育,林泓育,林泓育,張閔勛,張閔勛,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,梁家榮,梁家榮,郭永維,郭永維,郭永維,郭永維,郭永維,郭永維
11,黃子鵬,林泓育,林泓育,林泓育,張閔勛,張閔勛,張閔勛,張閔勛,張閔勛,嚴宏鈞,嚴宏鈞,梁家榮,梁家榮,梁家榮,梁家榮,梁家榮,梁家榮,郭永維,郭永維,陳俊秀,陳俊秀,陳俊秀,陳俊秀,陳俊秀,陳俊秀
12,林泓育,張閔勛,張閔勛,張閔勛,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,嚴宏鈞,梁家榮,梁家榮,郭永維,郭永維,郭永維,郭永維,郭永維,郭永維,陳俊秀,陳俊秀,林立,林立,林立,林立,林立,林立
13,張閔勛,嚴宏鈞,嚴宏鈞,嚴宏鈞,梁家榮,梁家榮,梁家榮,梁家榮,梁家榮,林承飛,林承飛,陳俊秀,陳俊秀,陳俊秀,陳俊秀,陳俊秀,陳俊秀,林立,林立,馬傑森,馬傑森,馬傑森,馬傑森,馬傑森,馬傑森
14,嚴宏鈞,梁家榮,梁家榮,梁家榮,林承飛,林承飛,林承飛,林承飛,林承飛,郭永維,郭永維,林立,林立,林立,林立,林立,林立,馬傑森,馬傑森,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇
15,梁家榮,林承飛,林承飛,林承飛,郭永維,郭永維,郭永維,郭永維,郭永維,陳俊秀,陳俊秀,朱育賢,朱育賢,朱育賢,朱育賢,朱育賢,馬傑森,蔡鎮宇,蔡鎮宇,成晉,成晉,成晉,成晉,成晉,成晉
16,林承飛,郭永維,郭永維,郭永維,陳俊秀,陳俊秀,陳俊秀,陳俊秀,陳俊秀,林立,林立,馬傑森,馬傑森,馬傑森,馬傑森,馬傑森,蔡鎮宇,成晉,成晉,邱丹,邱丹,邱丹,邱丹,邱丹,邱丹
17,郭永維,陳俊秀,陳俊秀,陳俊秀,林立,林立,林立,林立,林立,朱育賢,朱育賢,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇,成晉,邱丹,邱丹,藍寅倫,藍寅倫,藍寅倫,藍寅倫,藍寅倫,藍寅倫
18,陳俊秀,林立,林立,林立,朱育賢,朱育賢,朱育賢,朱育賢,朱育賢,馬傑森,馬傑森,成晉,成晉,成晉,成晉,成晉,邱丹,藍寅倫,藍寅倫,陳晨威,陳晨威,陳晨威,陳晨威,陳晨威,陳晨威
19,林立,朱育賢,朱育賢,朱育賢,馬傑森,馬傑森,馬傑森,馬傑森,馬傑森,蔡鎮宇,蔡鎮宇,邱丹,邱丹,邱丹,邱丹,邱丹,藍寅倫,陳晨威,陳晨威,霸林爵,霸林爵,黃子鵬,黃子鵬,黃子鵬,黃子鵬
20,朱育賢,馬傑森,馬傑森,馬傑森,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇,蔡鎮宇,成晉,成晉,藍寅倫,藍寅倫,藍寅倫,藍寅倫,藍寅倫,陳晨威,霸林爵,霸林爵,黃子鵬,黃子鵬,狂威,狂威,林智平,林智平
21,馬傑森,蔡鎮宇,蔡鎮宇,蔡鎮宇,成晉,成晉,成晉,成晉,成晉,邱丹,邱丹,陳晨威,陳晨威,陳晨威,陳晨威,陳晨威,霸林爵,黃子鵬,黃子鵬,狂威,狂威,林智平,林智平,林承飛,林承飛
22,蔡鎮宇,成晉,成晉,成晉,邱丹,邱丹,邱丹,邱丹,邱丹,藍寅倫,藍寅倫,霸林爵,霸林爵,霸林爵,霸林爵,霸林爵,黃子鵬,狂威,狂威,林智平,林智平,陳冠宇,林承飛,陳禹勳,陳禹勳
23,成晉,邱丹,邱丹,邱丹,藍寅倫,藍寅倫,藍寅倫,藍寅倫,藍寅倫,陳晨威,陳晨威,黃子鵬,黃子鵬,黃子鵬,黃子鵬,黃子鵬,狂威,林智平,林智平,陳冠宇,陳冠宇,林承飛,陳禹勳,萬昭清,萬昭清
24,邱丹,藍寅倫,藍寅倫,藍寅倫,陳晨威,陳晨威,陳晨威,陳晨威,陳晨威,霸林爵,霸林爵,狂威,狂威,狂威,狂威,狂威,林智平,陳冠宇,陳冠宇,林承飛,林承飛,陳禹勳,萬昭清,廖健富,
