週次,日期,對手,場地,先發投手
1,4月2日,統一7-ELEVEn獅,洲際,胡智為
1,4月3日,富邦悍將,洲際,范米特
2,4月4日,富邦悍將,新莊,江少慶
2,4月5日,樂天桃猿,樂天桃園,黃子鵬
2,4月8日,富邦悍將,新莊,李子強
2,4月9日,樂天桃猿,樂天桃園,霸林爵
2,4月10日,樂天桃猿,樂天桃園,曾仁和
3,4月12日,味全龍,洲際,鋼龍
3,4月14日,富邦悍將,洲際,陳鴻文
3,4月15日,富邦悍將,洲際,江少慶
3,4月17日,統一7-ELEVEn獅,台南,古林睿煬
4,4月19日,味全龍,洲際,廖任磊
4,4月20日,味全龍,洲際,郭郁政
4,4月21日,富邦悍將,洲際,范米特
4,4月23日,統一7-ELEVEn獅,洲際,柯瑞
4,4月24日,樂天桃猿,洲際,林子崴
5,4月28日,味全龍,天母,陳明軒
5,4月29日,味全龍,天母,布里悍
5,4月30日,樂天桃猿,樂天桃園,林子崴
6,5月3日,富邦悍將,新莊,陳仕朋
6,5月6日,統一7-ELEVEn獅,洲際,胡智為
6,5月7日,統一7-ELEVEn獅,洲際,布雷克
6,5月8日,統一7-ELEVEn獅,洲際,羅昂
7,5月10日,統一7-ELEVEn獅,台南,古林睿煬
7,5月11日,統一7-ELEVEn獅,台南,江辰晏
7,5月13日,富邦悍將,新莊,范米特
8,5月16日,味全龍,澄清湖,廖任磊
8,5月18日,統一7-ELEVEn獅,台南,江辰晏
8,5月19日,統一7-ELEVEn獅,台南,胡智為
8,5月20日,統一7-ELEVEn獅,台南,古林睿煬
8,5月21日,味全龍,天母,林子昱
9,5月24日,樂天桃猿,台東,黃子鵬
