週次,日期,對手,場地,先發投手
1,4月3日,中信兄弟,洲際,象魔力
2,4月4日,中信兄弟,新莊,鄭凱文
2,4月7日,樂天桃猿,新莊,狂威
2,4月8日,中信兄弟,新莊,泰迪
2,4月9日,味全龍,新莊,布里悍
2,4月10日,統一7-ELEVEn獅,新莊,古林睿煬 
3,4月14日,中信兄弟,洲際,泰迪
3,4月15日,中信兄弟,洲際,象魔力
3,4月16日,統一7-ELEVEn獅,台南,羅昂
4,4月21日,中信兄弟,洲際,象魔力
4,4月22日,味全龍,新莊,王維中
4,4月23日,味全龍,新莊,布里悍
4,4月24日,味全龍,新莊,鋼龍
5,4月26日,樂天桃猿,樂天桃園,黃子鵬
5,4月27日,樂天桃猿,樂天桃園,狂威
5,4月29日,統一7-ELEVEn獅,台南,羅昂
5,4月30日,統一7-ELEVEn獅,台南,江辰晏
5,5月1日,統一7-ELEVEn獅,台南,古林睿煬
6,5月3日,中信兄弟,新莊,泰迪
6,5月4日,樂天桃猿,新莊,黃子鵬
6,5月5日,樂天桃猿,新莊,狂威
6,5月6日,樂天桃猿,新莊,霸林爵
7,5月9日,樂天桃猿,樂天桃園,索沙
7,5月10日,樂天桃猿,樂天桃園,黃子鵬
7,5月12日,統一7-ELEVEn獅,台南,胡智為
7,5月13日,中信兄弟,新莊,象魔力
8,5月17日,味全龍,澄清湖,鋼龍
8,5月18日,味全龍,澄清湖,曹祐齊
8,5月20日,樂天桃猿,樂天桃園,王溢正
8,5月21日,樂天桃猿,樂天桃園,索沙
8,5月22日,樂天桃猿,樂天桃園,莊昕諺
