週次,日期,對手,場地,先發投手
1,4月5日,中信兄弟,樂天桃園,廖乙忠
1,4月7日,富邦悍將,新莊,陳鴻文
1,4月8日,統一7-ELEVEn獅,澄清湖,胡智為
1,4月9日,中信兄弟,樂天桃園,象魔力
1,4月10日,中信兄弟,樂天桃園,吳哲源
2,4月12日,統一7-ELEVEn獅,澄清湖,辰晏
2,4月13日,統一7-ELEVEn獅,澄清湖,潘威倫
2,4月15日,味全龍,天母,王維中
2,4月16日,味全龍,天母,布里悍
2,4月17日,味全龍,天母,鋼龍
3,4月20日,統一7-ELEVEn獅,樂天桃園,胡智為
3,4月21日,統一7-ELEVEn獅,樂天桃園,布雷克
3,4月22日,統一7-ELEVEn獅,樂天桃園,羅昂
3,4月24日,中信兄弟,洲際,德保拉
4,4月26日,富邦悍將,樂天桃園,陳仕朋
4,4月27日,富邦悍將,樂天桃園,范米特
4,4月28日,統一7-ELEVEn獅,樂天桃園,布雷克
4,4月30日,中信兄弟,樂天桃園,德保拉
5,5月4日,富邦悍將,新莊,范米特
5,5月5日,富邦悍將,新莊,陳鴻文
5,5月6日,富邦悍將,新莊,江少慶
6,5月9日,富邦悍將,樂天桃園,威迪茲
6,5月10日,富邦悍將,樂天桃園,郭俊麟
6,5月11日,味全龍,樂天桃園,鋼龍
6,5月13日,味全龍,樂天桃園,布里悍
6,5月15日,統一7-ELEVEn獅,台南,布雷克
7,5月17日,統一7-ELEVEn獅,台南,羅昂
7,5月19日,味全龍,澄清湖,布里悍
7,5月20日,富邦悍將,樂天桃園,范米特
7,5月21日,富邦悍將,樂天桃園,陳鴻文
7,5月22日,富邦悍將,樂天桃園,陳仕朋
8,5月24日,中信兄弟,台東,德保拉
