週次,日期,對手,場地,先發投手
1,4月2日,中信兄弟,洲際,泰迪
1,4月3日,味全龍,台南,布里悍
2,4月4日,味全龍,台南,鋼龍
2,4月5日,味全龍,台南,郭郁政
2,4月8日,樂天桃猿,澄清湖,陳冠宇
2,4月10日,富邦悍將,新莊,范米特
3,4月12日,樂天桃猿,澄清湖,黃子鵬
3,4月13日,樂天桃猿,澄清湖,狂威
3,4月14日,味全龍,澄清湖,林子昱
3,4月16日,富邦悍將,台南,威迪茲
3,4月17日,中信兄弟,台南,德保拉
4,4月20日,樂天桃猿,樂天桃園,黃子鵬
4,4月21日,樂天桃猿,樂天桃園,狂威
4,4月22日,樂天桃猿,樂天桃園,霸林爵
4,4月23日,中信兄弟,洲際,鄭凱文
5,4月26日,味全龍,天母,胡智為
5,4月28日,樂天桃猿,樂天桃園,霸林爵
5,4月29日,富邦悍將,台南,陳鴻文
5,4月30日,富邦悍將,台南,江少慶
5,5月1日,富邦悍將,台南,威迪茲
6,5月6日,中信兄弟,洲際,象魔力
6,5月7日,中信兄弟,洲際,德保拉
6,5月8日,中信兄弟,洲際,鄭凱文
7,5月10日,中信兄弟,台南,泰迪
7,5月11日,中信兄弟,台南,吳哲源
7,5月12日,富邦悍將,台南,陳仕朋
7,5月15日,樂天桃猿,台南,索沙
8,5月17日,樂天桃猿,台南,黃子鵬
8,5月18日,中信兄弟,台南,德保拉
8,5月19日,中信兄弟,台南,泰迪
8,5月20日,中信兄弟,台南,吳哲源
8,5月22日,味全龍,天母,廖任磊
