,2022-04-03,2022-04-04,2022-04-05,2022-04-09,2022-04-12,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-19,2022-04-20,2022-04-22,2022-04-23,2022-04-24,2022-04-26,2022-04-28,2022-04-29,2022-05-11,2022-05-13,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-21,2022-05-22
1,吳東融 SS,吳東融 SS,吳東融 SS,鈦龍 LF,鈦龍 LF,吳東融 SS,吳東融 SS,鈦龍 LF,陳品捷 LF,劉基鴻 3B,劉基鴻 3B,吳東融 SS,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,張祐銘 LF,張祐銘 LF,吳東融 SS,張祐銘 LF,張祐銘 LF,張祐銘 LF
2,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,蔣少宏 C,林智勝 1B,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,曾陶鎔 LF,林智勝 1B,林智勝 1B,蔣少宏 C,林智勝 1B,林智勝 1B,林智勝 1B
3,林孝程 CF,林孝程 CF,林孝程 CF,林孝程 CF,林孝程 CF,鈦龍 LF,鈦龍 LF,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,郭天信 RF,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,吳東融 SS,林智勝 1B,吳東融 SS,吳東融 SS,吳東融 SS
4,陳品捷 LF,陳品捷 LF,陳品捷 LF,吳東融 SS,吳東融 SS,陳品捷 CF,陳品捷 CF,郭天信 RF,郭天信 CF,陳品捷 CF,陳品捷 CF,蔣少宏 C,陳品捷 CF,陳品捷 CF,陳品捷 CF,陳品捷 CF,陳品捷 CF,陳品捷 CF,陳品捷 CF,陳品捷 CF,陳品捷 CF,郭天信 RF,陳品捷 CF,陳品捷 CF,陳品捷 CF
5,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B,李凱威 2B
6,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B,吉力吉撈．鞏冠 DH,劉基鴻 3B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,林智勝 1B,劉基鴻 3B,劉基鴻 3B,吉力吉撈．鞏冠 DH,劉基鴻 3B,劉基鴻 3B,劉基鴻 3B
7,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,林智勝 1B,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 DH,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,張祐銘 LF,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C,吉力吉撈．鞏冠 C
8,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,陳品捷 CF,張祐銘 DH,郭天信 RF,郭天信 RF,陳品捷 CF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,郭天信 RF,劉基鴻 3B,郭天信 RF,郭天信 RF,郭天信 RF
9,蔣少宏 DH,張祐銘 DH,張祐銘 DH,陳品捷 DH,陳品捷 DH,張祐銘 DH,張祐銘 DH,劉基鴻 3B,董秉軒 RF,張祐銘 DH,張祐銘 DH,劉基鴻 3B,張祐銘 DH,張祐銘 DH,張祐銘 DH,張祐銘 DH,張祐銘 DH,張祐銘 DH,張祐銘 DH,蔣少宏 DH,蔣少宏 DH,陳品捷 CF,蔣少宏 DH,蔣少宏 DH,蔣少宏 DH
stage 1,747.8223078712315,2103.4653580970316,2103.4653580970316,2103.4653580970316,3114.782652126575,3114.782652126575,3114.782652126575,3114.782652126575,3114.782652126575,3230.4942874168887,3230.4942874168887,3230.4942874168887,3230.4942874168887,3230.4942874168887,1974.8440052554752,1974.8440052554752,1974.8440052554752,1412.5164780338177,1412.5164780338177,3800.5215703867043,3800.5215703867043,3800.5215703867043,3800.5215703867043,3800.5215703867043,3800.5215703867043
