,2022-04-03,2022-04-04,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-14,2022-04-15,2022-04-16,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-26,2022-04-27,2022-04-29,2022-04-30,2022-05-01,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-09,2022-05-10,2022-05-12,2022-05-13,2022-05-17,2022-05-18,2022-05-20,2022-05-21,2022-05-22
1,范國宸 RF,范國宸 RF,范國宸 RF,范國宸 RF,申皓瑋 CF,范國宸 RF,范國宸 RF,范國宸 RF,范國宸 RF,楊晉豪 3B,范國宸 RF,范國宸 RF,林琨笙 C,范國宸 RF,林琨笙 C,范國宸 RF,范國宸 RF,范國宸 RF,申皓瑋 CF,申皓瑋 CF,林琨笙 C,高國輝 LF,林琨笙 C,林琨笙 C,林琨笙 C,霸帝士 DH,葉竹軒 2B,林琨笙 C,葉竹軒 2B,葉竹軒 2B,葉竹軒 2B
2,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,李宗賢 3B,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,林哲瑄 DH,霸帝士 DH,霸帝士 DH,范國宸 RF,高國麟 LF,范國宸 RF,高國麟 LF,申皓瑋 CF,申皓瑋 CF,高國輝 LF,高國輝 LF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,范國宸 1B,申皓瑋 CF,蔣智賢 1B,蔣智賢 1B,蔣智賢 1B
3,李宗賢 3B,李宗賢 3B,李宗賢 3B,李宗賢 3B,王正棠 2B,李宗賢 3B,李宗賢 3B,李宗賢 3B,李宗賢 3B,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF,王正棠 2B,申皓瑋 CF,王正棠 2B,楊瑞承 1B,楊瑞承 1B,王正棠 2B,王正棠 2B,王正棠 2B,王正棠 2B,楊瑞承 1B,楊瑞承 1B,楊瑞承 1B,李宗賢 SS,申皓瑋 CF,李宗賢 SS,申皓瑋 CF,申皓瑋 CF,申皓瑋 CF
4,高國麟 LF,高國麟 LF,高國麟 LF,高國麟 LF,林琨笙 C,高國麟 LF,高國麟 LF,高國麟 LF,高國麟 LF,王正棠 2B,王正棠 2B,王正棠 2B,王正棠 2B,申皓瑋 CF,王正棠 2B,申皓瑋 CF,高國麟 LF,高國麟 LF,高國麟 RF,高國麟 RF,楊瑞承 1B,楊瑞承 1B,葉竹軒 2B,葉竹軒 2B,葉竹軒 2B,葉竹軒 2B,李宗賢 SS,葉竹軒 2B,李宗賢 SS,李宗賢 SS,李宗賢 SS
5,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,林益全 1B,王正棠 2B,王正棠 2B,董子恩 3B,董子恩 3B,高國輝 LF,蔣智賢 DH,董子恩 3B,董子恩 3B,董子恩 3B,董子恩 3B,陳真 LF,董子恩 3B,陳真 LF,陳真 LF,陳真 LF
6,張進德 C,張進德 C,張進德 C,張進德 C,張進德 DH,張進德 C,張進德 C,張進德 C,張進德 C,張進德 C,張進德 C,張進德 C,張進德 DH,張進德 C,張進德 DH,張進德 C,張進德 C,張進德 C,范國宸 1B,范國宸 1B,范國宸 RF,范國宸 RF,范國宸 RF,范國宸 RF,范國宸 RF,范國宸 RF,張進德 C,張進德 DH,張進德 C,張進德 C,張進德 C
7,王正棠 2B,王正棠 2B,王正棠 2B,王正棠 2B,高國麟 LF,王正棠 2B,王正棠 2B,王正棠 2B,王正棠 2B,范國宸 RF,楊晉豪 3B,楊晉豪 3B,高國麟 LF,董子恩 3B,董子恩 3B,董子恩 3B,高孝儀 DH,高孝儀 DH,林琨笙 C,林琨笙 C,董子恩 3B,董子恩 3B,高國輝 LF,高孝儀 LF,高孝儀 LF,高孝儀 LF,王正棠 RF,王正棠 RF,范國宸 RF,范國宸 RF,范國宸 RF
8,高國輝 DH,高國輝 DH,高國輝 DH,高國輝 DH,范國宸 RF,高國輝 DH,高國輝 DH,高國輝 DH,高國輝 DH,高國麟 LF,高國麟 LF,高國麟 LF,楊晉豪 3B,林哲瑄 DH,高國麟 LF,林哲瑄 DH,董子恩 3B,董子恩 3B,楊瑞承 DH,楊瑞承 DH,蔣智賢 DH,戴培峰 C,蔣智賢 DH,蔣智賢 DH,蔣智賢 DH,戴培峰 C,蔣智賢 DH,陳真 LF,霸帝士 DH,張冠廷 DH,張冠廷 DH
9,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,于森旭 SS,楊瑞承 1B,董子恩 3B,范國宸 1B,董子恩 3B,董子恩 3B,董子恩 3B
stage 1,841.6365752359792,2971.5900834574327,2971.5900834574327,2971.5900834574327,2971.5900834574327,2971.5900834574327,2512.2785713076196,2512.2785713076196,2512.2785713076196,2133.3394207741944,2133.3394207741944,2133.3394207741944,2133.3394207741944,4134.667454145389,4134.667454145389,4134.667454145389,4134.667454145389,4134.667454145389,2153.2074706842145,2153.2074706842145,2153.2074706842145,2153.2074706842145,2811.9266544424036,2811.9266544424036,2811.9266544424036,2811.9266544424036,3529.628898064413,3529.628898064413,3529.628898064413,3529.628898064413,3529.628898064413
